x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
253 , 281 , 374 , 283 , 121.017 , 120.0 , -0.947 , 0.0 , 0.013 , 27.967
254 , 282 , 374 , 282 , 120.0 , 120.0 , 0.0 , 0.0 , 0.028 , 30.0
253 , 282 , 374 , 282 , 121.0 , 120.0 , 0.0 , 0.0 , 0.041 , 28.0
254 , 283 , 373 , 281 , 119.017 , 120.0 , 0.963 , 0.0 , 0.057 , 31.966
253 , 283 , 373 , 281 , 120.017 , 120.0 , 0.955 , 0.0 , 0.074 , 29.967
254 , 284 , 373 , 280 , 119.067 , 120.0 , 1.925 , 0.0 , 0.087 , 31.866
254 , 285 , 373 , 279 , 119.151 , 120.0 , 2.886 , 0.0 , 0.103 , 31.698
254 , 285 , 372 , 279 , 118.152 , 120.0 , 2.911 , 0.0 , 0.119 , 33.695
253 , 286 , 372 , 278 , 119.269 , 120.0 , 3.846 , 0.0 , 0.131 , -31.463
254 , 286 , 372 , 277 , 118.343 , 120.0 , 4.362 , 0.0 , 0.148 , -33.315
254 , 287 , 371 , 277 , 117.427 , 120.0 , 4.885 , 0.0 , 0.161 , -35.147
255 , 287 , 371 , 277 , 116.43 , 120.0 , 4.927 , 0.0 , 0.18 , -37.14
254 , 287 , 371 , 276 , 117.516 , 120.0 , 5.371 , 0.0 , 0.191 , -34.968
255 , 288 , 370 , 276 , 115.624 , 120.0 , 5.957 , 0.0 , 0.223 , -38.751
255 , 290 , 371 , 275 , 116.966 , 120.0 , 7.368 , 0.0 , 0.252 , -36.068
255 , 291 , 370 , 273 , 116.4 , 120.0 , 8.896 , 0.0 , 0.266 , -37.2
256 , 291 , 369 , 273 , 114.425 , 120.0 , 9.051 , 0.0 , 0.282 , -41.151
257 , 292 , 369 , 272 , 113.772 , 120.0 , 10.125 , 0.0 , 0.296 , -42.457
257 , 292 , 368 , 272 , 112.787 , 120.0 , 10.214 , 0.0 , 0.312 , -44.425
258 , 292 , 368 , 271 , 111.987 , 120.0 , 10.808 , 0.0 , 0.328 , -46.027
259 , 292 , 367 , 271 , 110.023 , 120.0 , 11.004 , 0.0 , 0.357 , -49.955
259 , 293 , 367 , 271 , 110.218 , 120.0 , 11.514 , 0.0 , 0.372 , -49.564
260 , 293 , 366 , 271 , 108.259 , 120.0 , 11.725 , 0.0 , 0.402 , -53.482
260 , 294 , 366 , 271 , 108.467 , 120.0 , 12.242 , 0.0 , 0.421 , -53.067
261 , 294 , 366 , 270 , 107.708 , 120.0 , 12.875 , 0.0 , 0.431 , -54.584
261 , 294 , 365 , 270 , 106.733 , 120.0 , 12.995 , 0.0 , 0.446 , -56.533
261 , 295 , 365 , 270 , 106.963 , 120.0 , 13.517 , 0.0 , 0.477 , -56.075
261 , 295 , 364 , 270 , 105.991 , 120.0 , 13.643 , 0.0 , 0.491 , -58.019
261 , 295 , 364 , 269 , 106.231 , 120.0 , 14.167 , 0.0 , 0.506 , -57.538
262 , 295 , 364 , 270 , 105.019 , 120.0 , 13.772 , 0.0 , 0.524 , -59.962
262 , 296 , 364 , 269 , 105.513 , 120.0 , 14.826 , 0.0 , 0.538 , -58.974
262 , 296 , 363 , 269 , 104.547 , 120.0 , 14.967 , 0.0 , 0.552 , -60
261 , 296 , 363 , 269 , 105.513 , 120.0 , 14.826 , 0.0 , 0.568 , -58.974
261 , 296 , 364 , 268 , 106.738 , 120.0 , 15.208 , 0.0 , 0.596 , -56.524
261 , 296 , 364 , 269 , 106.48 , 120.0 , 14.689 , 0.0 , 0.632 , -57.04
260 , 296 , 364 , 269 , 107.448 , 120.0 , 14.554 , 0.0 , 0.673 , -55.105
260 , 295 , 365 , 269 , 108.171 , 120.0 , 13.908 , 0.0 , 0.686 , -53.658
260 , 295 , 365 , 270 , 107.935 , 120.0 , 13.392 , 0.0 , 0.701 , -54.13
259 , 295 , 365 , 270 , 108.908 , 120.0 , 13.271 , 0.0 , 0.717 , -52.184
260 , 295 , 365 , 270 , 107.935 , 120.0 , 13.392 , 0.0 , 0.732 , -54.13
259 , 294 , 366 , 271 , 109.444 , 120.0 , 12.131 , 0.0 , 0.746 , -51.112
259 , 295 , 366 , 270 , 109.882 , 120.0 , 13.151 , 0.0 , 0.764 , -50.236
258 , 294 , 366 , 271 , 110.422 , 120.0 , 12.022 , 0.0 , 0.776 , -49.156
258 , 294 , 366 , 272 , 110.218 , 120.0 , 11.514 , 0.0 , 0.792 , -49.564
258 , 293 , 367 , 272 , 111.005 , 120.0 , 10.905 , 0.0 , 0.806 , -47.991
258 , 293 , 366 , 272 , 110.023 , 120.0 , 11.004 , 0.0 , 0.821 , -49.955
257 , 293 , 366 , 272 , 111.005 , 120.0 , 10.905 , 0.0 , 0.841 , -47.991
257 , 292 , 366 , 273 , 110.644 , 120.0 , 9.888 , 0.0 , 0.852 , -48.713
256 , 292 , 365 , 273 , 110.644 , 120.0 , 9.888 , 0.0 , 0.866 , -48.713
256 , 291 , 366 , 272 , 111.629 , 120.0 , 9.8 , 0.0 , 0.883 , -46.742
257 , 292 , 366 , 272 , 110.82 , 120.0 , 10.397 , 0.0 , 0.9 , -48.361
256 , 291 , 366 , 272 , 111.629 , 120.0 , 9.8 , 0.0 , 0.912 , -46.742
256 , 291 , 367 , 273 , 112.45 , 120.0 , 9.211 , 0.0 , 0.93 , -45.1
255 , 291 , 367 , 273 , 113.437 , 120.0 , 9.13 , 0.0 , 0.946 , -43.126
255 , 290 , 368 , 272 , 114.425 , 120.0 , 9.051 , 0.0 , 0.98 , -41.151
254 , 290 , 368 , 273 , 115.261 , 120.0 , 8.482 , 0.0 , 0.995 , -39.479
254 , 290 , 369 , 273 , 116.25 , 120.0 , 8.409 , 0.0 , 1.013 , -37.501
254 , 289 , 370 , 274 , 116.966 , 120.0 , 7.368 , 0.0 , 1.029 , -36.068
253 , 289 , 370 , 274 , 117.958 , 120.0 , 7.306 , 0.0 , 1.045 , -34.085
253 , 289 , 369 , 275 , 116.842 , 120.0 , 6.882 , 0.0 , 1.061 , -36.316
253 , 289 , 370 , 276 , 117.72 , 120.0 , 6.34 , 0.0 , 1.085 , -34.56
253 , 288 , 370 , 276 , 117.614 , 120.0 , 5.856 , 0.0 , 1.095 , -34.772
253 , 287 , 370 , 276 , 117.516 , 120.0 , 5.371 , 0.0 , 1.111 , -34.968
252 , 287 , 370 , 276 , 118.512 , 120.0 , 5.326 , 0.0 , 1.128 , -32.977
252 , 286 , 371 , 277 , 119.34 , 120.0 , 4.325 , 0.0 , 1.144 , -31.32
251 , 286 , 371 , 277 , 120.337 , 120.0 , 4.289 , 0.0 , 1.161 , -29.326
251 , 286 , 372 , 277 , 121.334 , 120.0 , 4.254 , 0.0 , 1.178 , -27.332
251 , 286 , 372 , 278 , 121.264 , 120.0 , 3.783 , 0.0 , 1.194 , -27.472
251 , 284 , 373 , 278 , 122.147 , 120.0 , 2.816 , 0.0 , 1.212 , 25.705
250 , 284 , 373 , 279 , 123.102 , 120.0 , 2.328 , 0.0 , 1.228 , 23.797
250 , 283 , 374 , 280 , 124.036 , 120.0 , 1.386 , 0.0 , 1.244 , 21.927
250 , 283 , 375 , 281 , 125.016 , 120.0 , 0.917 , 0.0 , 1.279 , 19.968
