x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
246 , 268 , 365 , 268 , 119.0 , 120.0 , 0.0 , 0.0 , 0.01 , 32.0
246 , 269 , 365 , 267 , 119.017 , 120.0 , 0.963 , 0.0 , 0.024 , 31.966
245 , 270 , 365 , 267 , 120.037 , 120.0 , 1.432 , 0.0 , 0.038 , 29.925
246 , 270 , 365 , 267 , 119.038 , 120.0 , 1.444 , 0.0 , 0.082 , 31.924
245 , 269 , 365 , 267 , 120.017 , 120.0 , 0.955 , 0.0 , 0.114 , 29.967
246 , 269 , 365 , 267 , 119.017 , 120.0 , 0.963 , 0.0 , 0.126 , 31.966
245 , 268 , 365 , 268 , 120.0 , 120.0 , 0.0 , 0.0 , 0.141 , 30.0
245 , 268 , 365 , 267 , 120.004 , 120.0 , 0.477 , 0.0 , 0.156 , 29.992
245 , 268 , 364 , 268 , 119.0 , 120.0 , 0.0 , 0.0 , 0.173 , 32.0
245 , 268 , 365 , 267 , 120.004 , 120.0 , 0.477 , 0.0 , 0.187 , 29.992
246 , 268 , 365 , 268 , 119.0 , 120.0 , 0.0 , 0.0 , 0.202 , 32.0
246 , 268 , 364 , 268 , 118.0 , 120.0 , 0.0 , 0.0 , 0.228 , 34.0
246 , 267 , 364 , 268 , 118.004 , 120.0 , -0.486 , 0.0 , 0.248 , 33.992
246 , 267 , 363 , 268 , 117.004 , 120.0 , -0.49 , 0.0 , 0.277 , 35.991
246 , 267 , 363 , 269 , 117.017 , 120.0 , -0.979 , 0.0 , 0.306 , 35.966
247 , 267 , 363 , 268 , 116.004 , 120.0 , -0.494 , 0.0 , 0.336 , 37.991
247 , 267 , 362 , 268 , 115.004 , 120.0 , -0.498 , 0.0 , 0.352 , 39.991
247 , 266 , 362 , 268 , 115.017 , 120.0 , -0.996 , 0.0 , 0.368 , 39.965
247 , 266 , 362 , 269 , 115.039 , 120.0 , -1.494 , 0.0 , 0.397 , 39.922
247 , 266 , 361 , 269 , 114.039 , 120.0 , -1.507 , 0.0 , 0.411 , 41.921
248 , 266 , 362 , 269 , 114.039 , 120.0 , -1.507 , 0.0 , 0.488 , 41.921
247 , 266 , 362 , 270 , 115.07 , 120.0 , -1.992 , 0.0 , 0.502 , 39.861
247 , 266 , 362 , 269 , 115.039 , 120.0 , -1.494 , 0.0 , 0.519 , 39.922
247 , 266 , 362 , 270 , 115.07 , 120.0 , -1.992 , 0.0 , 0.546 , 39.861
247 , 266 , 362 , 269 , 115.039 , 120.0 , -1.494 , 0.0 , 0.561 , 39.922
247 , 267 , 362 , 270 , 115.039 , 120.0 , -1.494 , 0.0 , 0.6 , 39.922
247 , 267 , 362 , 269 , 115.017 , 120.0 , -0.996 , 0.0 , 0.608 , 39.965
247 , 267 , 362 , 268 , 115.004 , 120.0 , -0.498 , 0.0 , 0.653 , 39.991
247 , 268 , 362 , 268 , 115.0 , 120.0 , 0.0 , 0.0 , 0.668 , 40.0
246 , 268 , 362 , 268 , 116.0 , 120.0 , 0.0 , 0.0 , 0.682 , 38.0
246 , 268 , 363 , 267 , 117.004 , 120.0 , 0.49 , 0.0 , 0.712 , 35.991
246 , 269 , 363 , 267 , 117.017 , 120.0 , 0.979 , 0.0 , 0.743 , 35.966
245 , 269 , 363 , 267 , 118.017 , 120.0 , 0.971 , 0.0 , 0.771 , 33.966
245 , 269 , 363 , 266 , 118.038 , 120.0 , 1.456 , 0.0 , 0.787 , 33.924
245 , 270 , 363 , 266 , 118.068 , 120.0 , 1.941 , 0.0 , 0.802 , 33.864
245 , 270 , 364 , 266 , 119.067 , 120.0 , 1.925 , 0.0 , 0.824 , 31.866
245 , 270 , 363 , 265 , 118.106 , 120.0 , 2.426 , 0.0 , 0.836 , -33.788
245 , 271 , 363 , 265 , 118.152 , 120.0 , 2.911 , 0.0 , 0.847 , -33.695
245 , 272 , 363 , 264 , 118.271 , 120.0 , 3.879 , 0.0 , 0.879 , -33.458
